Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP_stats_keeper_9,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKsv,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Aaron Ramsdale,eng ENG,GK,26,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Arsenal,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,2,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Ayden Heaven,eng ENG,DF,17,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Arsenal,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,3,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Ben White,eng ENG,DF,26,17,13,1198,13.3,0,2,2,0,0,0,2,0,0.5,0.5,1.4,1.8,23,59,42,0.00,0.15,0.15,0.00,0.15,0.03,0.10,0.14,0.03,0.14,Matches,Arsenal,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,26.0,13.3,0.0,9.0,2.0,22.2,0.68,0.15,0.0,0.0,19.4,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,Matches,Arsenal,580.0,692.0,83.8,9173.0,2998.0,309.0,337.0,91.7,234.0,276.0,84.8,24.0,50.0,48.0,2.0,1.4,1.4,0.6,10.0,55.0,11.0,2.0,59.0,583.0,107.0,20.0,1.0,7.0,17.0,83.0,0.0,0.0,0.0,0.0,2.0,7.0,23.0,1.73,22.0,1.0,0.0,0.0,0.0,0.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,10.0,4.0,6.0,16.0,38.0,42.1,22.0,10.0,8.0,2.0,16.0,36.0,44.0,0.0,813.0,55.0,214.0,367.0,238.0,28.0,813.0,6.0,0.0,0.0,5.0,83.3,394.0,1617.0,953.0,23.0,16.0,4.0,10.0,6.0,494.0,42.0,70,35.0,13,86,10,4,19,3,1.47,20,13,+7,+0.53,-0.61,18.9,16.2,+2.7,+0.21,-0.71,2.0,0.0,0.0,10.0,5.0,1.0,0.0,0.0,0.0,37.0,18.0,9.0,66.7
Brayden Clarke,wls WAL,DF,17,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Arsenal,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Bukayo Saka,eng ENG,"FW,MF",22,25,20,1729,19.2,6,10,16,5,1,1,3,0,6.8,6.0,7.6,13.7,96,70,255,0.31,0.52,0.83,0.26,0.78,0.36,0.40,0.75,0.31,0.71,Matches,Arsenal,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"FW,MF",22.0,19.2,6.0,66.0,22.0,33.3,3.44,1.15,0.08,0.23,15.6,1.0,1.0,6.8,6.0,0.09,-0.8,-1.0,Matches,Arsenal,552.0,731.0,75.5,8408.0,2487.0,334.0,371.0,90.0,154.0,214.0,72.0,45.0,92.0,48.9,10.0,7.6,7.8,2.4,58.0,15.0,38.0,12.0,70.0,644.0,83.0,7.0,4.0,2.0,117.0,12.0,64.0,56.0,0.0,2.0,4.0,21.0,117.0,6.09,71.0,20.0,12.0,10.0,4.0,0.0,23.0,1.2,14.0,5.0,2.0,1.0,1.0,0.0,29.0,15.0,9.0,11.0,9.0,13.0,24.0,54.2,11.0,22.0,0.0,22.0,3.0,32.0,8.0,0.0,979.0,6.0,57.0,216.0,715.0,162.0,978.0,90.0,41.0,45.6,37.0,41.1,628.0,4253.0,2460.0,96.0,32.0,51.0,34.0,40.0,711.0,255.0,69,50.6,20,79,7,5,32,0,1.96,38,21,+17,+0.88,-0.07,34.8,17.6,+17.3,+0.90,+0.46,3.0,0.0,0.0,15.0,39.0,7.0,1.0,0.0,0.0,70.0,10.0,20.0,33.3
David Raya,es ESP,GK,28,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Arsenal,es ESP,GK,28.0,38.0,3420.0,34.0,0.89,120.0,86.0,74.2,20.0,14.0,4.0,13.0,34.2,3.0,0.0,Matches,Arsenal,2.0,8.0,0.0,35.1,0.28,1.1,0.03,149.0,478.0,31.2,1263.0,178.0,29.9,29.9,147.0,68.0,49.1,402.0,53.0,13.2,66.0,1.74,17.2,es ESP,GK,28.0,38.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Arsenal,1040.0,1413.0,73.6,24784.0,17222.0,285.0,288.0,99.0,537.0,548.0,98.0,215.0,570.0,37.7,0.0,0.0,0.1,0.0,1.0,45.0,3.0,0.0,14.0,1172.0,238.0,91.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.13,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,21.0,9.0,1480.0,880.0,1388.0,92.0,0.0,0.0,1480.0,1.0,1.0,100.0,0.0,0.0,921.0,4542.0,2729.0,0.0,0.0,0.0,1.0,0.0,841.0,0.0,90,100.0,38,90,38,0,N/a,0,1.95,69,34,+35,+0.92,N/a,59.9,34.4,+25.5,+0.67,N/a,3.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,41.0,13.0,0.0,100.0
Declan Rice,eng ENG,MF,25,35,33,2825,31.4,4,7,11,4,0,0,7,1,3.5,3.5,6.6,10.1,90,192,94,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32,Matches,Arsenal,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,MF,25.0,31.4,4.0,48.0,14.0,29.2,1.53,0.45,0.08,0.29,19.6,2.0,0.0,3.5,3.5,0.07,0.5,0.5,Matches,Arsenal,1376.0,1650.0,83.4,23402.0,6234.0,678.0,737.0,92.0,553.0,611.0,90.5,117.0,240.0,48.8,7.0,6.6,5.6,0.4,59.0,137.0,35.0,5.0,192.0,1436.0,208.0,71.0,5.0,17.0,164.0,4.0,108.0,94.0,3.0,0.0,6.0,15.0,111.0,3.54,62.0,33.0,4.0,5.0,5.0,2.0,10.0,0.32,6.0,2.0,1.0,1.0,0.0,0.0,53.0,25.0,22.0,25.0,6.0,17.0,41.0,41.5,24.0,27.0,13.0,14.0,25.0,78.0,51.0,0.0,1948.0,82.0,325.0,909.0,733.0,81.0,1948.0,29.0,14.0,48.3,14.0,48.3,1031.0,6464.0,3394.0,90.0,58.0,16.0,36.0,32.0,1266.0,94.0,81,82.6,33,84,23,2,23,1,1.91,56,28,+28,+0.89,-0.17,48.8,26.8,+22.0,+0.70,+0.17,7.0,1.0,1.0,21.0,16.0,2.0,0.0,0.0,0.0,156.0,37.0,25.0,59.7
Eddie Nketiah,eng ENG,FW,25,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Arsenal,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,2,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Ethan Nwaneri,eng ENG,"FW,MF",17,26,11,895,9.9,4,2,6,4,0,0,1,0,1.2,1.2,1.2,2.4,46,33,113,0.40,0.20,0.60,0.40,0.60,0.12,0.12,0.24,0.12,0.24,Matches,Arsenal,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"FW,MF",17.0,9.9,4.0,24.0,9.0,37.5,2.41,0.91,0.17,0.44,18.5,1.0,0.0,1.2,1.2,0.05,2.8,2.8,Matches,Arsenal,342.0,425.0,80.5,4906.0,1216.0,216.0,234.0,92.3,93.0,121.0,76.9,19.0,37.0,51.4,2.0,1.2,1.8,0.8,16.0,17.0,16.0,6.0,33.0,386.0,36.0,3.0,3.0,1.0,54.0,4.0,27.0,18.0,0.0,0.0,3.0,14.0,29.0,2.91,15.0,6.0,5.0,2.0,1.0,0.0,3.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,4.0,4.0,3.0,7.0,21.0,33.3,14.0,8.0,2.0,6.0,2.0,13.0,4.0,1.0,544.0,3.0,44.0,167.0,339.0,44.0,544.0,62.0,37.0,59.7,19.0,30.6,365.0,2852.0,1329.0,46.0,25.0,17.0,23.0,17.0,398.0,113.0,34,26.2,11,65,1,15,12,10,1.85,16,4,+12,+1.21,+0.39,14.5,5.4,+9.1,+0.91,+0.33,1.0,0.0,0.0,9.0,5.0,6.0,0.0,0.0,0.0,34.0,4.0,8.0,33.3
Gabriel Jesus,br BRA,FW,27,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.00,0.44,0.44,0.44,0.44,0.10,0.54,0.44,0.54,Matches,Arsenal,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,FW,27.0,6.8,3.0,20.0,7.0,35.0,2.96,1.04,0.15,0.43,11.1,0.0,0.0,3.0,3.0,0.15,0.0,0.0,Matches,Arsenal,156.0,203.0,76.8,2030.0,378.0,103.0,128.0,80.5,41.0,47.0,87.2,4.0,6.0,66.7,0.0,0.7,0.5,-0.7,8.0,10.0,9.0,1.0,19.0,197.0,3.0,0.0,1.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,12.0,18.0,2.66,10.0,0.0,1.0,5.0,1.0,1.0,4.0,0.59,1.0,0.0,0.0,3.0,0.0,0.0,10.0,6.0,4.0,3.0,3.0,4.0,9.0,44.4,5.0,10.0,1.0,9.0,4.0,14.0,8.0,0.0,299.0,9.0,28.0,108.0,165.0,48.0,299.0,22.0,9.0,40.9,10.0,45.5,179.0,953.0,432.0,15.0,6.0,11.0,13.0,13.0,217.0,57.0,36,17.8,6,81,2,11,11,1,1.94,15,5,+10,+1.48,+0.68,11.4,5.7,+5.7,+0.85,+0.21,4.0,0.0,0.0,14.0,10.0,9.0,0.0,0.0,0.0,28.0,9.0,18.0,33.3
Gabriel Magalhães,br BRA,DF,26,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.10,0.03,0.13,0.10,0.13,Matches,Arsenal,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,DF,26.0,26.3,3.0,22.0,5.0,22.7,0.84,0.19,0.14,0.6,9.5,0.0,0.0,2.6,2.6,0.12,0.4,0.4,Matches,Arsenal,1480.0,1641.0,90.2,25788.0,7938.0,598.0,617.0,96.9,782.0,830.0,94.2,83.0,154.0,53.9,1.0,0.9,1.2,0.1,13.0,145.0,8.0,0.0,126.0,1560.0,80.0,51.0,1.0,8.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,35.0,1.33,31.0,0.0,0.0,3.0,1.0,0.0,6.0,0.23,4.0,0.0,0.0,1.0,1.0,0.0,25.0,15.0,12.0,8.0,5.0,12.0,16.0,75.0,4.0,42.0,29.0,13.0,16.0,41.0,93.0,2.0,1873.0,189.0,672.0,985.0,225.0,40.0,1873.0,5.0,4.0,80.0,1.0,20.0,1116.0,4470.0,2669.0,10.0,22.0,0.0,9.0,2.0,1366.0,11.0,84,69.1,28,84,25,0,N/a,0,2.04,50,22,+28,+1.07,+0.47,40.3,23.1,+17.2,+0.66,-0.05,4.0,0.0,0.0,19.0,19.0,0.0,1.0,0.0,0.0,63.0,53.0,37.0,58.9
Gabriel Martinelli,br BRA,"FW,MF",23,33,25,2290,25.4,8,4,12,8,0,0,1,0,7.4,7.4,5.0,12.4,124,52,289,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49,Matches,Arsenal,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,"FW,MF",23.0,25.4,8.0,55.0,24.0,43.6,2.16,0.94,0.15,0.33,12.9,0.0,0.0,7.4,7.4,0.14,0.6,0.6,Matches,Arsenal,499.0,699.0,71.4,7113.0,1534.0,324.0,385.0,84.2,135.0,193.0,69.9,26.0,52.0,50.0,4.0,5.0,4.7,-1.0,40.0,11.0,37.0,15.0,52.0,679.0,15.0,0.0,5.0,2.0,92.0,12.0,3.0,3.0,0.0,0.0,5.0,37.0,74.0,2.91,55.0,1.0,8.0,7.0,3.0,0.0,7.0,0.27,4.0,0.0,1.0,1.0,1.0,0.0,23.0,15.0,9.0,6.0,8.0,7.0,23.0,30.4,16.0,15.0,0.0,15.0,5.0,28.0,19.0,0.0,994.0,17.0,102.0,247.0,660.0,182.0,994.0,109.0,33.0,30.3,60.0,55.0,670.0,4985.0,2620.0,124.0,33.0,64.0,50.0,38.0,752.0,289.0,69,67.0,25,81,10,8,33,2,1.94,45,25,+20,+0.79,-0.41,38.5,25.9,+12.6,+0.49,-0.54,1.0,0.0,0.0,16.0,21.0,8.0,0.0,0.0,0.0,78.0,17.0,39.0,30.4
Ismeal Kabia,eng ENG,MF,18,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Arsenal,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,9,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
