Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Starts_stats_keeper_9,Playing Time_Min_stats_keeper_9,Playing Time_90s_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Abdukodir Khusanov,uz UZB,DF,20,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,Manchester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,uz UZB,DF,20.0,5.6,0.0,1.0,0.0,0.0,0.18,0.0,0.0,N/a,23.9,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,Matches,Manchester City,360.0,395.0,91.1,6126.0,1976.0,160.0,169.0,94.7,191.0,197.0,97.0,6.0,23.0,26.1,0.0,0.1,0.1,-0.1,2.0,23.0,0.0,0.0,25.0,385.0,10.0,6.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.89,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,1.0,0.0,2.0,3.0,66.7,1.0,5.0,4.0,1.0,3.0,8.0,29.0,1.0,445.0,45.0,205.0,211.0,31.0,1.0,445.0,2.0,0.0,0.0,2.0,100.0,274.0,1155.0,435.0,1.0,1.0,0.0,2.0,1.0,332.0,2.0,84,14.7,6,84,5,0,N/a,5,1.67,8,6,+2,+0.36,-0.44,9.0,7.0,+2.1,+0.37,-0.19,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,27.0,6.0,4.0,60.0
Bernardo Silva,pt POR,"MF,FW",29,33,29,2670,29.7,4,4,8,4,0,0,7,0,3.9,3.9,5.1,9.0,101,134,200,0.13,0.13,0.27,0.13,0.27,0.13,0.17,0.30,0.13,0.30,Matches,Manchester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,pt POR,"MF,FW",29.0,29.7,4.0,32.0,11.0,34.4,1.08,0.37,0.13,0.36,12.4,0.0,0.0,0.0,3.9,3.9,0.12,0.1,0.1,Matches,Manchester City,1547.0,1783.0,86.8,23646.0,4501.0,877.0,949.0,92.4,554.0,634.0,87.4,82.0,124.0,66.1,4.0,5.1,4.5,-1.1,53.0,87.0,40.0,7.0,134.0,1654.0,128.0,55.0,4.0,6.0,60.0,44.0,16.0,5.0,0.0,0.0,1.0,35.0,92.0,3.1,81.0,3.0,4.0,1.0,3.0,0.0,8.0,0.27,8.0,0.0,0.0,0.0,0.0,0.0,56.0,37.0,17.0,30.0,9.0,25.0,56.0,44.6,31.0,36.0,7.0,29.0,23.0,79.0,32.0,3.0,2054.0,50.0,355.0,843.0,876.0,141.0,2054.0,61.0,28.0,45.9,26.0,42.6,1288.0,8110.0,4045.0,101.0,65.0,32.0,25.0,34.0,1518.0,200.0,81,78.1,29,90,28,4,15,5,1.79,49,36,+13,+0.44,-1.36,49.0,38.9,+10.1,+0.34,-0.90,7.0,0.0,0.0,27.0,32.0,3.0,0.0,0.0,0.0,107.0,5.0,10.0,33.3
Claudio Echeverri,ar ARG,FW,18,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Manchester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ar ARG,FW,18.0,0.1,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Manchester City,3.0,3.0,100.0,26.0,18.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,N/a,0.0,N/a,3.0,28.0,12.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,6,0.2,0,N/a,0,1,6,0,3.00,0,0,0,0.00,-0.74,0.0,0.4,-0.4,-5.43,-5.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N/a
Divin Mubama,eng ENG,FW,19,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,Manchester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,FW,19.0,0.3,0.0,1.0,0.0,0.0,3.21,0.0,0.0,N/a,17.2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,Matches,Manchester City,2.0,3.0,66.7,44.0,18.0,1.0,1.0,100.0,0.0,0.0,N/a,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,3.0,1.0,5.0,0.0,0.0,N/a,0.0,N/a,2.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,28,0.8,0,N/a,0,1,28,4,3.00,1,0,+1,+3.21,+2.50,0.6,0.0,+0.6,+1.97,+1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Ederson,br BRA,GK,30,26,26,2320,25.8,0,4,4,0,0,0,4,0,0.0,0.0,1.5,1.5,0,2,0,0.00,0.16,0.16,0.00,0.16,0.00,0.06,0.06,0.00,0.06,Matches,Manchester City,br BRA,GK,30.0,26.0,26.0,2320.0,25.8,26.0,1.01,78.0,53.0,69.2,16.0,4.0,6.0,10.0,38.5,2.0,2.0,0.0,0.0,0.0,Matches,Manchester City,0.0,3.0,1.0,30.0,0.37,5.0,0.19,72.0,165.0,43.6,846.0,108.0,17.4,27.9,77.0,23.4,31.9,224.0,13.0,5.8,49.0,1.9,17.5,br BRA,GK,30.0,25.8,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Manchester City,811.0,923.0,87.9,19885.0,13212.0,142.0,142.0,100.0,471.0,479.0,98.3,194.0,297.0,65.3,4.0,1.5,0.2,2.5,4.0,21.0,1.0,0.0,2.0,817.0,106.0,29.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.23,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,11.0,4.0,975.0,689.0,962.0,13.0,0.0,0.0,975.0,0.0,0.0,N/a,0.0,N/a,654.0,3060.0,1981.0,0.0,0.0,0.0,1.0,0.0,616.0,0.0,89,67.8,26,89,25,0,N/a,4,2.00,49,26,+23,+0.89,+0.48,49.0,28.7,+20.3,+0.79,+0.78,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,42.0,4.0,1.0,80.0
Erling Haaland,no NOR,FW,24,31,31,2736,30.4,22,3,25,19,3,4,2,0,22.0,18.8,3.0,21.8,24,20,124,0.72,0.10,0.82,0.62,0.72,0.72,0.10,0.82,0.62,0.72,Matches,Manchester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,no NOR,FW,24.0,30.4,22.0,104.0,55.0,52.9,3.42,1.81,0.18,0.35,12.3,1.0,3.0,4.0,22.0,18.8,0.19,0.0,0.2,Matches,Manchester City,255.0,381.0,66.9,3086.0,593.0,175.0,246.0,71.1,59.0,84.0,70.2,4.0,6.0,66.7,3.0,3.0,2.0,0.0,29.0,10.0,8.0,1.0,20.0,372.0,7.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,71.0,2.34,51.0,0.0,8.0,10.0,2.0,0.0,9.0,0.3,6.0,0.0,2.0,1.0,0.0,0.0,11.0,6.0,3.0,3.0,5.0,3.0,8.0,37.5,5.0,12.0,1.0,11.0,5.0,16.0,23.0,0.0,639.0,22.0,40.0,222.0,384.0,190.0,635.0,36.0,13.0,36.1,20.0,55.6,310.0,1494.0,577.0,24.0,15.0,23.0,45.0,27.0,478.0,124.0,88,80.0,31,88,25,0,N/a,1,1.77,58,38,+20,+0.66,-0.39,56.2,40.5,+15.7,+0.52,-0.10,2.0,0.0,0.0,24.0,13.0,4.0,0.0,0.0,0.0,34.0,57.0,50.0,53.3
Issa Kaboré,bf BFA,"DF,MF",23,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Manchester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Jack Grealish,eng ENG,"FW,MF",28,20,7,721,8.0,1,1,2,1,0,0,3,0,1.1,1.1,1.8,3.0,69,52,118,0.12,0.12,0.25,0.12,0.25,0.14,0.23,0.37,0.14,0.37,Matches,Manchester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"FW,MF",28.0,8.0,1.0,15.0,5.0,33.3,1.87,0.62,0.07,0.2,16.3,0.0,0.0,0.0,1.1,1.1,0.08,-0.1,-0.1,Matches,Manchester City,382.0,436.0,87.6,5685.0,986.0,247.0,265.0,93.2,115.0,131.0,87.8,18.0,26.0,69.2,1.0,1.8,1.7,-0.8,24.0,23.0,16.0,0.0,52.0,418.0,18.0,5.0,0.0,0.0,20.0,4.0,9.0,4.0,0.0,0.0,0.0,11.0,47.0,5.86,41.0,1.0,3.0,0.0,1.0,1.0,2.0,0.25,1.0,0.0,0.0,0.0,0.0,1.0,9.0,5.0,4.0,2.0,3.0,2.0,5.0,40.0,3.0,12.0,2.0,10.0,2.0,11.0,6.0,1.0,521.0,15.0,42.0,162.0,324.0,71.0,521.0,29.0,13.0,44.8,9.0,31.0,376.0,2881.0,1714.0,69.0,23.0,46.0,10.0,16.0,423.0,118.0,36,21.1,7,81,2,13,12,12,2.00,17,10,+7,+0.87,+0.17,14.8,11.2,+3.6,+0.45,-0.11,3.0,0.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,26.0,1.0,7.0,12.5
Jacob Wright,eng ENG,MF,18,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Manchester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,5,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Jahmai Simpson-Pusey,eng ENG,DF,18,2,1,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Manchester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,18.0,1.1,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Manchester City,107.0,115.0,93.0,1754.0,549.0,47.0,49.0,95.9,57.0,59.0,96.6,3.0,7.0,42.9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,110.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,123.0,9.0,61.0,59.0,3.0,1.0,123.0,1.0,0.0,0.0,0.0,0.0,79.0,376.0,190.0,1.0,0.0,0.0,1.0,0.0,101.0,0.0,48,2.8,1,90,1,1,6,8,0.50,1,2,-1,-0.94,-1.72,2.2,2.3,-0.2,-0.14,-0.70,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,25.0
James Mcatee,eng ENG,"MF,FW",21,15,3,349,3.9,3,0,3,3,0,0,1,0,2.8,2.8,0.5,3.3,7,7,32,0.77,0.00,0.77,0.77,0.77,0.72,0.13,0.85,0.72,0.85,Matches,Manchester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"MF,FW",21.0,3.9,3.0,12.0,4.0,33.3,3.09,1.03,0.25,0.75,14.3,0.0,0.0,0.0,2.8,2.8,0.23,0.2,0.2,Matches,Manchester City,100.0,125.0,80.0,1491.0,254.0,57.0,65.0,87.7,40.0,45.0,88.9,3.0,9.0,33.3,0.0,0.5,0.8,-0.5,3.0,7.0,2.0,0.0,7.0,122.0,3.0,1.0,1.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,1.03,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.26,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,4.0,1.0,1.0,7.0,14.3,6.0,8.0,0.0,8.0,2.0,7.0,1.0,0.0,168.0,2.0,17.0,62.0,90.0,21.0,168.0,7.0,2.0,28.6,5.0,71.4,96.0,486.0,211.0,7.0,6.0,1.0,5.0,1.0,122.0,32.0,23,10.2,3,66,0,12,13,20,2.33,9,6,+3,+0.77,+0.04,7.5,5.2,+2.3,+0.59,+0.06,1.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,40.0
Jeremy Doku,be BEL,"FW,MF",22,29,16,1516,16.8,3,6,9,3,0,0,1,0,1.3,1.3,4.8,6.1,213,69,286,0.18,0.36,0.53,0.18,0.53,0.08,0.29,0.36,0.08,0.36,Matches,Manchester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,be BEL,"FW,MF",22.0,16.8,3.0,29.0,9.0,31.0,1.72,0.53,0.1,0.33,17.7,0.0,0.0,0.0,1.3,1.3,0.05,1.7,1.7,Matches,Manchester City,603.0,762.0,79.1,8464.0,1506.0,400.0,463.0,86.4,183.0,226.0,81.0,14.0,21.0,66.7,6.0,4.8,3.8,1.2,32.0,12.0,48.0,6.0,69.0,757.0,3.0,0.0,8.0,0.0,59.0,1.0,2.0,0.0,0.0,0.0,2.0,30.0,79.0,4.69,60.0,1.0,13.0,1.0,3.0,1.0,14.0,0.83,11.0,0.0,3.0,0.0,0.0,0.0,31.0,22.0,9.0,12.0,10.0,8.0,15.0,53.3,7.0,11.0,1.0,10.0,4.0,35.0,2.0,0.0,1027.0,4.0,46.0,233.0,772.0,161.0,1027.0,201.0,107.0,53.2,60.0,29.9,796.0,7581.0,4865.0,213.0,95.0,109.0,59.0,59.0,854.0,286.0,52,44.3,16,81,6,13,17,4,1.90,34,14,+20,+1.19,+0.81,33.5,14.4,+19.1,+1.13,+1.07,1.0,0.0,0.0,10.0,33.0,5.0,0.0,0.0,0.0,63.0,0.0,12.0,0.0
