Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Abdoulaye Doucouré,ml MLI,MF,31,33,31,2564,28.5,3,2,5,3,0,0,5,1,4.1,4.1,2.4,6.6,42,82,96,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23,Matches,Everton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ml MLI,MF,31.0,28.5,3.0,31.0,9.0,29.0,1.09,0.32,0.1,0.33,14.0,0.0,0.0,0.0,4.1,4.1,0.13,-1.1,-1.1,Matches,Everton,725.0,903.0,80.3,10909.0,2254.0,382.0,446.0,85.7,263.0,316.0,83.2,44.0,60.0,73.3,2.0,2.4,1.4,-0.4,28.0,44.0,15.0,0.0,82.0,884.0,14.0,5.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,58.0,2.04,52.0,0.0,3.0,2.0,0.0,1.0,3.0,0.11,2.0,0.0,0.0,0.0,0.0,1.0,48.0,28.0,21.0,20.0,7.0,14.0,43.0,32.6,29.0,31.0,6.0,25.0,10.0,58.0,20.0,1.0,1161.0,32.0,225.0,538.0,413.0,65.0,1161.0,45.0,24.0,53.3,21.0,46.7,604.0,2952.0,1396.0,42.0,26.0,8.0,38.0,38.0,750.0,96.0,78,75.0,31,82,16,2,12,1,1.30,28,33,-5,-0.18,-0.49,31.0,34.8,-3.8,-0.13,-0.07,5.0,1.0,1.0,49.0,5.0,10.0,0.0,0.0,0.0,150.0,30.0,44.0,40.5
Armando Broja,al ALB,FW,22,10,4,334,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,12,2,26,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches,Everton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,al ALB,FW,22.0,3.7,0.0,4.0,0.0,0.0,1.08,0.0,0.0,N/a,17.3,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,Matches,Everton,53.0,73.0,72.6,594.0,101.0,35.0,45.0,77.8,10.0,12.0,83.3,2.0,3.0,66.7,0.0,0.2,0.1,-0.2,4.0,3.0,0.0,0.0,2.0,72.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.89,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,N/a,0.0,3.0,0.0,3.0,1.0,4.0,4.0,0.0,127.0,4.0,14.0,47.0,72.0,18.0,127.0,16.0,8.0,50.0,7.0,43.8,64.0,577.0,281.0,12.0,8.0,3.0,16.0,13.0,94.0,26.0,33,9.8,4,58,0,6,17,3,1.00,1,2,-1,-0.27,-0.24,3.1,3.8,-0.7,-0.19,-0.08,1.0,0.0,0.0,6.0,4.0,3.0,0.0,0.0,0.0,9.0,18.0,21.0,46.2
Ashley Young,eng ENG,DF,39,32,19,1875,20.8,1,3,4,1,0,0,7,1,0.3,0.3,2.3,2.6,24,90,32,0.05,0.14,0.19,0.05,0.19,0.01,0.11,0.12,0.01,0.12,Matches,Everton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,39.0,20.8,1.0,6.0,3.0,50.0,0.29,0.14,0.17,0.33,24.5,3.0,0.0,0.0,0.3,0.3,0.04,0.7,0.7,Matches,Everton,708.0,999.0,70.9,13051.0,5809.0,337.0,380.0,88.7,272.0,357.0,76.2,92.0,214.0,43.0,3.0,2.3,2.9,0.7,26.0,78.0,25.0,14.0,90.0,770.0,222.0,25.0,3.0,4.0,75.0,180.0,15.0,8.0,6.0,0.0,7.0,20.0,47.0,2.25,34.0,8.0,0.0,1.0,2.0,2.0,6.0,0.29,4.0,0.0,0.0,1.0,0.0,1.0,58.0,33.0,25.0,25.0,8.0,35.0,57.0,61.4,22.0,14.0,4.0,10.0,25.0,83.0,64.0,2.0,1194.0,61.0,369.0,528.0,305.0,9.0,1194.0,20.0,7.0,35.0,9.0,45.0,487.0,2447.0,1378.0,24.0,26.0,1.0,11.0,1.0,618.0,32.0,59,54.8,19,85,14,13,20,4,1.34,21,22,-1,-0.05,+0.01,21.0,26.3,-5.3,-0.26,-0.31,7.0,1.0,0.0,30.0,22.0,0.0,0.0,0.0,0.0,75.0,10.0,11.0,47.6
Asmir Begović,ba BIH,GK,37,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Everton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,18,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Beto,gw GNB,FW,26,30,15,1534,17.0,8,0,8,8,0,0,2,0,8.2,8.2,1.2,9.4,15,16,77,0.47,0.00,0.47,0.47,0.47,0.48,0.07,0.55,0.48,0.55,Matches,Everton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,gw GNB,FW,26.0,17.0,8.0,49.0,23.0,46.9,2.87,1.35,0.16,0.35,13.1,0.0,0.0,0.0,8.2,8.2,0.17,-0.2,-0.2,Matches,Everton,156.0,268.0,58.2,2060.0,282.0,92.0,137.0,67.2,44.0,83.0,53.0,7.0,9.0,77.8,0.0,1.2,0.5,-1.2,12.0,7.0,8.0,1.0,16.0,264.0,4.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,26.0,1.52,16.0,0.0,3.0,3.0,4.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,2.0,8.0,4.0,5.0,8.0,62.5,3.0,12.0,2.0,10.0,4.0,18.0,24.0,1.0,520.0,29.0,51.0,233.0,242.0,86.0,520.0,38.0,19.0,50.0,17.0,44.7,267.0,1242.0,478.0,15.0,12.0,9.0,71.0,37.0,378.0,77.0,51,44.9,15,82,6,15,20,8,1.07,23,24,-1,-0.06,-0.01,21.3,18.6,+2.7,+0.16,+0.50,2.0,0.0,0.0,33.0,23.0,16.0,0.0,0.0,0.0,40.0,99.0,105.0,48.5
Callum Bates,eng ENG,MF,18,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Everton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,2,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Carlos Alcaraz,ar ARG,"FW,MF",21,15,7,764,8.5,2,3,5,2,0,0,4,0,1.7,1.7,1.6,3.4,19,42,21,0.24,0.35,0.59,0.24,0.59,0.20,0.19,0.40,0.20,0.40,Matches,Everton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ar ARG,"FW,MF",21.0,8.5,2.0,26.0,11.0,42.3,3.06,1.3,0.08,0.18,20.3,1.0,0.0,0.0,1.7,1.7,0.07,0.3,0.3,Matches,Everton,224.0,278.0,80.6,3963.0,1007.0,96.0,112.0,85.7,95.0,107.0,88.8,24.0,37.0,64.9,3.0,1.6,0.7,1.4,13.0,20.0,18.0,3.0,42.0,265.0,12.0,2.0,1.0,2.0,11.0,6.0,3.0,2.0,1.0,0.0,1.0,10.0,33.0,3.89,24.0,2.0,3.0,3.0,1.0,0.0,6.0,0.71,5.0,0.0,0.0,1.0,0.0,0.0,11.0,5.0,5.0,3.0,3.0,3.0,11.0,27.3,8.0,9.0,2.0,7.0,5.0,16.0,10.0,0.0,378.0,15.0,63.0,168.0,156.0,19.0,378.0,18.0,9.0,50.0,7.0,38.9,211.0,1331.0,707.0,19.0,21.0,2.0,14.0,13.0,247.0,21.0,51,22.3,7,84,2,8,22,0,1.47,12,9,+3,+0.35,+0.52,8.2,11.0,-2.9,-0.34,-0.28,4.0,0.0,0.0,13.0,12.0,1.0,0.0,0.0,0.0,37.0,14.0,8.0,63.6
Coby Ebere,de GER,MF,18,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Everton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Dominic Calvert-Lewin,eng ENG,FW,27,26,19,1609,17.9,3,1,4,3,0,0,2,0,6.7,6.7,0.6,7.4,23,20,112,0.17,0.06,0.22,0.17,0.22,0.38,0.04,0.41,0.38,0.41,Matches,Everton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,FW,27.0,17.9,3.0,50.0,19.0,38.0,2.8,1.06,0.06,0.16,12.3,0.0,0.0,0.0,6.7,6.7,0.14,-3.7,-3.7,Matches,Everton,181.0,289.0,62.6,2113.0,498.0,130.0,187.0,69.5,37.0,63.0,58.7,3.0,8.0,37.5,1.0,0.6,0.7,0.4,7.0,20.0,5.0,1.0,20.0,287.0,2.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,26.0,1.46,14.0,0.0,4.0,3.0,3.0,2.0,4.0,0.22,1.0,0.0,2.0,0.0,1.0,0.0,9.0,7.0,1.0,4.0,4.0,2.0,6.0,33.3,4.0,7.0,2.0,5.0,7.0,16.0,23.0,0.0,520.0,26.0,45.0,215.0,265.0,88.0,520.0,25.0,10.0,40.0,13.0,52.0,280.0,1445.0,463.0,23.0,8.0,17.0,77.0,33.0,417.0,112.0,62,47.0,19,77,8,7,20,0,1.27,17,18,-1,-0.06,-0.01,18.1,25.1,-7.0,-0.39,-0.51,2.0,0.0,0.0,27.0,23.0,27.0,0.0,0.0,0.0,35.0,85.0,81.0,51.2
Dwight McNeil,eng ENG,"MF,FW",24,21,15,1371,15.2,4,6,10,4,0,0,1,0,1.1,1.1,5.2,6.3,38,69,80,0.26,0.39,0.66,0.26,0.66,0.07,0.34,0.41,0.07,0.41,Matches,Everton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"MF,FW",24.0,15.2,4.0,25.0,10.0,40.0,1.64,0.66,0.16,0.4,21.9,0.0,0.0,0.0,1.1,1.1,0.04,2.9,2.9,Matches,Everton,461.0,619.0,74.5,8501.0,2790.0,215.0,246.0,87.4,165.0,200.0,82.5,70.0,136.0,51.5,6.0,5.2,4.3,0.8,37.0,40.0,36.0,10.0,69.0,516.0,99.0,32.0,8.0,5.0,105.0,5.0,45.0,32.0,5.0,4.0,4.0,16.0,72.0,4.73,39.0,22.0,6.0,2.0,2.0,1.0,10.0,0.66,5.0,2.0,2.0,0.0,0.0,1.0,13.0,8.0,6.0,5.0,2.0,9.0,21.0,42.9,12.0,7.0,0.0,7.0,6.0,19.0,2.0,1.0,748.0,6.0,73.0,328.0,368.0,25.0,748.0,45.0,24.0,53.3,20.0,44.4,443.0,2674.0,1162.0,38.0,34.0,5.0,26.0,33.0,510.0,80.0,65,40.1,15,85,10,6,15,0,1.29,20,24,-4,-0.26,-0.35,17.5,21.5,-4.0,-0.26,-0.24,1.0,0.0,0.0,6.0,18.0,1.0,0.0,0.0,0.0,76.0,3.0,17.0,15.0
Harrison Armstrong,eng ENG,MF,17,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.00,0.00,0.00,0.00,0.00,0.69,0.14,0.82,0.69,0.82,Matches,Everton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,MF,17.0,0.5,0.0,1.0,0.0,0.0,1.87,0.0,0.0,N/a,5.8,0.0,0.0,0.0,0.4,0.4,0.37,-0.4,-0.4,Matches,Everton,7.0,15.0,46.7,149.0,15.0,3.0,4.0,75.0,2.0,5.0,40.0,2.0,4.0,50.0,0.0,0.1,0.0,-0.1,1.0,1.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,3.0,12.0,7.0,2.0,20.0,1.0,1.0,100.0,0.0,0.0,15.0,110.0,43.0,1.0,2.0,0.0,2.0,3.0,14.0,0.0,16,1.4,0,N/a,0,3,16,20,1.00,0,1,-1,-1.87,-1.85,0.7,0.4,+0.2,+0.44,+0.57,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Idrissa Gana Gueye,sn SEN,MF,34,37,35,3063,34.0,0,3,3,0,0,0,9,0,1.1,1.1,1.7,2.8,27,145,27,0.00,0.09,0.09,0.00,0.09,0.03,0.05,0.08,0.03,0.08,Matches,Everton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,sn SEN,MF,34.0,34.0,0.0,27.0,5.0,18.5,0.79,0.15,0.0,0.0,25.2,0.0,0.0,0.0,1.1,1.1,0.04,-1.1,-1.1,Matches,Everton,1230.0,1422.0,86.5,20779.0,5681.0,607.0,667.0,91.0,499.0,552.0,90.4,104.0,144.0,72.2,3.0,1.7,2.0,1.3,19.0,154.0,10.0,3.0,145.0,1388.0,27.0,7.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,22.0,60.0,1.76,52.0,0.0,1.0,2.0,3.0,2.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,0.0,133.0,80.0,61.0,55.0,17.0,58.0,99.0,58.6,41.0,48.0,9.0,39.0,48.0,181.0,36.0,1.0,1801.0,72.0,432.0,1045.0,336.0,21.0,1801.0,39.0,18.0,46.2,19.0,48.7,861.0,4046.0,1752.0,27.0,27.0,4.0,32.0,38.0,1048.0,27.0,83,89.6,35,86,25,2,21,0,1.27,37,39,-2,-0.06,-0.06,37.8,39.9,-2.1,-0.06,+0.54,9.0,0.0,0.0,55.0,46.0,0.0,0.0,0.0,0.0,194.0,24.0,15.0,61.5
Iliman Ndiaye,sn SEN,FW,24,33,29,2430,27.0,9,0,9,7,2,2,3,0,6.2,4.7,1.9,6.5,86,59,122,0.33,0.00,0.33,0.26,0.26,0.23,0.07,0.30,0.17,0.24,Matches,Everton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,sn SEN,FW,24.0,27.0,9.0,35.0,15.0,42.9,1.3,0.56,0.2,0.47,17.1,0.0,2.0,2.0,6.2,4.7,0.13,2.8,2.3,Matches,Everton,602.0,736.0,81.8,9038.0,1875.0,349.0,402.0,86.8,200.0,230.0,87.0,38.0,55.0,69.1,0.0,1.9,1.4,-1.9,18.0,42.0,14.0,5.0,59.0,709.0,25.0,5.0,2.0,2.0,38.0,5.0,10.0,4.0,0.0,2.0,2.0,22.0,65.0,2.41,49.0,0.0,9.0,1.0,6.0,0.0,8.0,0.3,5.0,0.0,2.0,0.0,1.0,0.0,53.0,28.0,20.0,16.0,17.0,22.0,49.0,44.9,27.0,30.0,5.0,25.0,20.0,73.0,24.0,1.0,1084.0,36.0,219.0,451.0,464.0,83.0,1082.0,143.0,68.0,47.6,64.0,44.8,621.0,4800.0,2367.0,86.0,44.0,32.0,55.0,44.0,674.0,122.0,74,71.1,29,80,14,4,29,0,1.24,32,24,+8,+0.30,+1.21,28.2,29.2,-1.0,-0.04,+0.28,3.0,0.0,0.0,24.0,52.0,5.0,0.0,0.0,0.0,172.0,6.0,19.0,24.0
