Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Aaron Anselmino,ar ARG,DF,19,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Chelsea,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,2,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Axel Disasi,fr FRA,DF,26,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0.00,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches,Chelsea,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,fr FRA,DF,26.0,4.0,1.0,2.0,1.0,50.0,0.49,0.25,0.5,1.0,12.3,0.0,0.0,0.0,0.3,0.3,0.14,0.7,0.7,Matches,Chelsea,266.0,293.0,90.8,4218.0,1367.0,136.0,144.0,94.4,117.0,126.0,92.9,9.0,13.0,69.2,0.0,0.1,0.1,-0.1,2.0,20.0,2.0,0.0,16.0,266.0,27.0,10.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.49,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,5.0,1.0,1.0,6.0,11.0,54.5,5.0,4.0,1.0,3.0,2.0,9.0,11.0,1.0,323.0,17.0,110.0,175.0,40.0,2.0,323.0,1.0,1.0,100.0,0.0,0.0,196.0,953.0,519.0,6.0,3.0,0.0,1.0,3.0,242.0,2.0,61,10.6,4,79,2,2,24,9,2.17,5,3,+2,+0.49,-0.07,9.5,6.3,+3.2,+0.79,+0.28,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,2.0,71.4
Benoît Badiashile,fr FRA,DF,23,5,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,17,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Chelsea,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,fr FRA,DF,23.0,3.7,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Chelsea,273.0,304.0,89.8,4820.0,1473.0,111.0,119.0,93.3,135.0,144.0,93.8,21.0,32.0,65.6,0.0,0.0,0.1,0.0,0.0,37.0,1.0,0.0,17.0,288.0,15.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,5.0,4.0,0.0,4.0,5.0,80.0,1.0,2.0,2.0,0.0,6.0,15.0,12.0,2.0,336.0,31.0,138.0,186.0,13.0,0.0,336.0,1.0,0.0,0.0,1.0,100.0,177.0,660.0,340.0,3.0,5.0,0.0,1.0,0.0,247.0,2.0,67,9.8,3,88,2,2,35,17,1.80,7,5,+2,+0.54,-0.02,6.9,5.0,+1.9,+0.53,-0.02,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,18.0,8.0,2.0,80.0
Cesare Casadei,it ITA,MF,21,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Chelsea,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,4,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Christopher Nkunku,fr FRA,FW,26,27,9,921,10.2,3,2,5,3,0,0,2,0,4.8,4.8,2.1,6.9,17,25,68,0.29,0.20,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,Matches,Chelsea,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,fr FRA,FW,26.0,10.2,3.0,25.0,11.0,44.0,2.44,1.07,0.12,0.27,12.6,0.0,0.0,0.0,4.8,4.8,0.19,-1.8,-1.8,Matches,Chelsea,299.0,334.0,89.5,3928.0,760.0,185.0,202.0,91.6,95.0,103.0,92.2,6.0,6.0,100.0,2.0,2.1,1.0,-0.1,14.0,26.0,7.0,0.0,25.0,327.0,7.0,1.0,2.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,34.0,3.32,21.0,0.0,5.0,5.0,1.0,2.0,4.0,0.39,1.0,0.0,1.0,1.0,1.0,0.0,12.0,8.0,3.0,4.0,5.0,6.0,8.0,75.0,2.0,9.0,2.0,7.0,7.0,19.0,10.0,0.0,448.0,10.0,52.0,183.0,217.0,52.0,448.0,27.0,10.0,37.0,14.0,51.9,280.0,1368.0,628.0,17.0,16.0,13.0,18.0,17.0,356.0,68.0,34,26.9,9,74,2,18,14,6,1.67,16,16,0,0.00,-0.76,21.2,16.0,+5.3,+0.51,-0.03,2.0,0.0,0.0,16.0,11.0,3.0,0.0,0.0,0.0,29.0,16.0,22.0,42.1
Cole Palmer,eng ENG,"MF,FW",22,37,36,3191,35.5,15,8,23,11,4,5,7,0,17.3,13.3,10.9,24.2,120,214,187,0.42,0.23,0.65,0.31,0.54,0.49,0.31,0.79,0.38,0.68,Matches,Chelsea,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"MF,FW",22.0,35.5,15.0,121.0,44.0,36.4,3.41,1.24,0.09,0.25,20.4,12.0,4.0,5.0,17.3,13.3,0.11,-2.3,-2.3,Matches,Chelsea,1140.0,1480.0,77.0,21582.0,5611.0,470.0,546.0,86.1,470.0,555.0,84.7,173.0,289.0,59.9,8.0,10.9,9.1,-2.9,87.0,163.0,64.0,17.0,214.0,1273.0,198.0,45.0,22.0,14.0,144.0,17.0,75.0,49.0,5.0,0.0,9.0,48.0,202.0,5.7,134.0,21.0,16.0,21.0,8.0,2.0,15.0,0.42,11.0,0.0,2.0,1.0,1.0,0.0,34.0,20.0,12.0,10.0,12.0,12.0,27.0,44.4,15.0,16.0,1.0,15.0,11.0,45.0,20.0,1.0,1851.0,23.0,150.0,824.0,901.0,144.0,1846.0,113.0,51.0,45.1,46.0,40.7,1173.0,7917.0,3804.0,120.0,76.0,41.0,71.0,37.0,1366.0,187.0,86,93.3,36,88,26,1,32,0,1.86,63,41,+22,+0.62,+1.01,64.8,44.1,+20.7,+0.58,+0.65,7.0,0.0,0.0,15.0,60.0,7.0,1.0,0.0,0.0,106.0,2.0,7.0,22.2
Enzo Fernández,ar ARG,MF,23,36,32,2947,32.7,6,7,13,6,0,0,8,0,6.1,6.1,6.8,12.9,60,212,126,0.18,0.21,0.40,0.18,0.40,0.19,0.21,0.39,0.19,0.39,Matches,Chelsea,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ar ARG,MF,23.0,32.7,6.0,53.0,20.0,37.7,1.62,0.61,0.11,0.3,18.1,2.0,0.0,0.0,6.1,6.1,0.11,-0.1,-0.1,Matches,Chelsea,1518.0,1900.0,79.9,26776.0,7512.0,700.0,789.0,88.7,626.0,737.0,84.9,157.0,273.0,57.5,7.0,6.8,6.2,0.2,77.0,167.0,41.0,7.0,212.0,1757.0,134.0,53.0,14.0,26.0,109.0,4.0,74.0,44.0,12.0,1.0,9.0,46.0,147.0,4.49,116.0,16.0,2.0,4.0,4.0,5.0,16.0,0.49,13.0,2.0,0.0,1.0,0.0,0.0,65.0,33.0,17.0,30.0,18.0,31.0,84.0,36.9,53.0,43.0,7.0,36.0,13.0,78.0,23.0,4.0,2210.0,37.0,346.0,1129.0,751.0,81.0,2210.0,55.0,26.0,47.3,21.0,38.2,1211.0,5652.0,2735.0,60.0,55.0,9.0,29.0,28.0,1622.0,126.0,82,86.2,32,89,26,4,25,0,1.75,56,37,+19,+0.58,+0.20,57.7,38.1,+19.6,+0.60,+0.43,8.0,0.0,0.0,52.0,54.0,2.0,0.0,0.0,0.0,156.0,14.0,29.0,32.6
Filip Jørgensen,dk DEN,GK,22,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Chelsea,dk DEN,GK,22.0,6.0,540.0,9.0,1.5,28.0,19.0,71.4,3.0,0.0,3.0,1.0,16.7,1.0,1.0,0.0,0.0,0.0,Matches,Chelsea,0.0,1.0,0.0,9.3,0.3,0.3,0.04,7.0,33.0,21.2,171.0,19.0,18.1,24.1,18.0,11.1,17.5,53.0,2.0,3.8,2.0,0.33,13.2,dk DEN,GK,22.0,6.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Chelsea,158.0,189.0,83.6,2843.0,1649.0,64.0,64.0,100.0,79.0,81.0,97.5,11.0,40.0,27.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,169.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,202.0,174.0,201.0,1.0,0.0,0.0,202.0,0.0,0.0,N/a,0.0,N/a,145.0,676.0,423.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,90,15.8,6,90,6,0,N/a,31,1.50,12,9,+3,+0.50,-0.06,14.0,8.8,+5.2,+0.86,+0.39,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,N/a
Genesis Antwi,se SWE,MF,17,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Chelsea,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Ishé Samuels-Smith,eng ENG,DF,18,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Chelsea,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,2,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Jadon Sancho,eng ENG,FW,24,31,19,1764,19.6,3,4,7,3,0,0,2,0,2.2,2.2,3.7,5.8,102,90,225,0.15,0.20,0.36,0.15,0.36,0.11,0.19,0.30,0.11,0.30,Matches,Chelsea,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,FW,24.0,19.6,3.0,24.0,8.0,33.3,1.22,0.41,0.13,0.38,15.1,0.0,0.0,0.0,2.2,2.2,0.09,0.8,0.8,Matches,Chelsea,663.0,803.0,82.6,8932.0,2093.0,416.0,465.0,89.5,208.0,250.0,83.2,14.0,27.0,51.9,4.0,3.7,3.1,0.3,38.0,28.0,48.0,0.0,90.0,791.0,11.0,1.0,7.0,1.0,25.0,9.0,1.0,1.0,0.0,0.0,1.0,24.0,70.0,3.57,63.0,0.0,3.0,1.0,3.0,0.0,10.0,0.51,9.0,0.0,0.0,0.0,1.0,0.0,13.0,7.0,3.0,3.0,7.0,5.0,12.0,41.7,7.0,11.0,0.0,11.0,2.0,15.0,8.0,2.0,975.0,13.0,117.0,283.0,585.0,121.0,975.0,97.0,45.0,46.4,40.0,41.2,653.0,4450.0,2435.0,102.0,35.0,57.0,30.0,21.0,760.0,225.0,57,51.6,19,76,7,12,27,1,1.84,35,24,+11,+0.56,+0.02,35.6,23.5,+12.1,+0.62,+0.16,2.0,0.0,0.0,6.0,11.0,6.0,2.0,0.0,0.0,99.0,6.0,11.0,35.3
Joshua Acheampong,eng ENG,DF,18,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,Chelsea,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,18.0,1.9,0.0,2.0,0.0,0.0,1.06,0.0,0.0,N/a,8.9,0.0,0.0,0.0,0.2,0.2,0.11,-0.2,-0.2,Matches,Chelsea,104.0,124.0,83.9,2025.0,705.0,29.0,32.0,90.6,63.0,68.0,92.6,11.0,20.0,55.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,121.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,137.0,7.0,48.0,81.0,8.0,3.0,137.0,2.0,1.0,50.0,0.0,0.0,106.0,709.0,409.0,0.0,2.0,0.0,2.0,0.0,111.0,0.0,43,5.0,2,80,1,2,5,19,2.00,2,3,-1,-0.53,-1.14,3.6,2.1,+1.5,+0.82,+0.29,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,14.3
João Félix,pt POR,"FW,MF",24,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,1.0,3.2,21,26,30,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches,Chelsea,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,pt POR,"FW,MF",24.0,4.1,1.0,20.0,5.0,25.0,4.88,1.22,0.05,0.2,15.9,0.0,0.0,0.0,2.2,2.2,0.11,-1.2,-1.2,Matches,Chelsea,171.0,199.0,85.9,2588.0,663.0,95.0,105.0,90.5,62.0,68.0,91.2,10.0,15.0,66.7,1.0,1.0,0.5,0.0,6.0,22.0,8.0,0.0,26.0,193.0,5.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,18.0,4.38,12.0,0.0,2.0,3.0,1.0,0.0,3.0,0.73,1.0,0.0,1.0,0.0,1.0,0.0,8.0,3.0,2.0,5.0,1.0,5.0,9.0,55.6,4.0,2.0,0.0,2.0,3.0,11.0,2.0,0.0,272.0,2.0,26.0,128.0,125.0,30.0,272.0,31.0,10.0,32.3,14.0,45.2,193.0,1248.0,712.0,21.0,13.0,5.0,6.0,4.0,218.0,30.0,31,10.8,3,75,1,9,16,8,2.25,10,4,+6,+1.46,+1.02,13.8,5.7,+8.1,+1.98,+1.61,2.0,0.0,0.0,6.0,17.0,1.0,0.0,0.0,0.0,22.0,4.0,5.0,44.4
